CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
15;01525;Via Po, 31/B;DEGLI STEMMI;05405780015;10124;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0647868152497;7,69541631702841;1
16;01536;Via Cernaia, 24;SANTA BARBARA;05648430014;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0707584154146;7,67614813764086;1
17;01014;Galleria Umberto I, 54;ORDINE MAURIZIANO SAS DEL DR. ENRICO POLLEDRO & C.;08872840015;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/07/2010;Ordinaria;1;45,0709201;7,6859719;1
17;01026;Galleria Umberto I, 54;MAURIZIANA DI GSG DI IELO STEFANIA E C.;10285940010;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/08/2010;-;Ordinaria;1;45,0709201;7,6859719;1
18;01562;Via Cernaia, 14;PENSA;05901920016;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0707584154146;7,67614813764086;1
19;01805;Via Roma, 24;CENTRALE SANTOMARTINO ANTONIO;05988080015;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/12/2007;Ordinaria;1;44,930433244759;7,53106340038547;1
19;01034;Via Roma, 24;IMPRESA SAS DELLA DR.SSA BRUZZONE PATRIZIA E C.;10050900017;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/07/2012;-;Ordinaria;1;44,930433244759;7,53106340038547;1
19;01805;Via Roma, 24;CENTRALE SANTOMARTINO ANTONIO;08760920010;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;30/06/2012;Ordinaria;1;44,930433244759;7,53106340038547;1
20;01584;Via dei Mille, 48;DELLA ROCCA;06424140017;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0607553603755;7,6924350538519;1
21;01595;Via Giovanni Giolitti, 2;SAN CARLO;06694230019;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0641990591578;7,58182651903797;1
22;01606;Via Maria Vittoria, 3;REGIA FARMACIA MASINO;06810590015;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0673862297507;7,68576945156105;1
23;01025;Via Giuseppe Garibaldi, 26;ANTICA FARMACIA BOSIO DI SPIRITO DR.SSA GIOVANNA;09722390011;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2011;-;Ordinaria;1;44,820621919015;7,22191658154474;1
23;01610;Via Giuseppe Garibaldi, 26;BOSIO;06968560018;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/12/2010;Ordinaria;1;44,820621919015;7,22191658154474;1
24;01621;Corso Vittorio Emanuele II, 34;TONENGO SNC DI SANCIN SARA E CARACRISTI PAOLA;-;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0600441248405;7,68636936789709;1
24;01621;Corso Vittorio Emanuele II, 34;TONENGO SNC DI SANCIN SARA E CARACRISTI PAOLA;07195550012;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;30/04/2011;Ordinaria;1;45,0600441248405;7,68636936789709;1
24;01621;Corso Vittorio Emanuele II, 34;TONENGO SNC DI SANCIN SARA E CARACRISTI PAOLA;03151330010;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/12/2007;Ordinaria;1;45,0600441248405;7,68636936789709;1
24;01043;Corso Vittorio Emanuele II, 34;ANEDDA DI CARACRISTI DR.SSA PAOLA;10501460017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/05/2011;-;Ordinaria;1;45,0600441248405;7,68636936789709;1
25;01643;Via Milano, 11;ANGLESIO;07328630012;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,146923847213;7,78412290763879;1
26;01665;Via Giovanni Giolitti, 7/C;MADONNA DEGLI ANGELI;-;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0641990591578;7,58182651903797;1
26;01037;Via Giovanni Giolitti, 7/C;MADONNA DEGLI ANGELI DI BOBBA PAOLA;10227830014;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0641990591578;7,58182651903797;1
26;01022;Via Giovanni Giolitti, 7/C;MADONNA DEGLI ANGELI DI BOBBA PAOLA & C. SAS;00552670010;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/08/2010;Ordinaria;1;45,0641990591578;7,58182651903797;1
27;01676;Via S. Teresa, 21;SOLFERINO;07443300012;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0709201;7,6859719;1
28;01680;Via XX Settembre, 5;COMUNALE 42 - AFC;01131720011;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;30/06/2010;Ordinaria;1;45,0692336846927;7,68187909649041;1
28;01680;Via XX Settembre, 5;FARMACIE COMUNALI TORINO S.p.A. FC N. 42 -;09971950010;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/07/2010;31/07/2010;Ordinaria;1;45,0692336846927;7,68187909649041;1
28;01680;Via XX Settembre, 5;COMUNALE 42 - AFC;09971950010;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/08/2010;-;Ordinaria;1;45,0692336846927;7,68187909649041;1
28;01680;Via XX Settembre, 5;COMUNALE 42;-;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0692336846927;7,68187909649041;1
29;01691;Piazza Statuto, 4;COMUNALE 43;-;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,076693316502;7,66903548103441;1
29;01691;Piazza Statuto, 4;FARMACIE COMUNALI TORINO S.p.A. FC N. 43 -;09971950010;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/07/2010;31/07/2010;Ordinaria;1;45,076693316502;7,66903548103441;1
29;01691;Piazza Statuto, 4;COMUNALE 43 - AFC;01384600019;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;-;Ordinaria;1;45,076693316502;7,66903548103441;1
30;01702;Via Po, 4;PO;07805510018;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0647868152497;7,69541631702841;1
31;01713;Via Bellini, 8;MAMONE;-;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0270196974625;7,51279685184017;1
31;01713;Via Bellini, 8;MAMONE;03090420013;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/12/2007;Ordinaria;1;45,0270196974625;7,51279685184017;1
31;01713;Via Bellini, 8;MAMONE;07787950018;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0270196974625;7,51279685184017;1
32;01040;Piazza Statuto, 3;ALMASIO SNC DEI DOTT.RI CHIASSA PAOLA E QUAINI FRANCESCO;08073470018;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2013;-;Ordinaria;1;45,076693316502;7,66903548103441;1
32;01724;Piazza Statuto, 3;ALMASIO SNC DEI DOTT.RI CHIASSA G. E LEONE L.;08073470018;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;28/02/2013;Ordinaria;1;45,076693316502;7,66903548103441;1
32;01724;Piazza Statuto, 3;ALMASIO SNC DEI DOTT.RI CHIASSA G. E LEONE L.;-;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,076693316502;7,66903548103441;1
33;01735;Via Giuseppe Mazzini, 31;EUROPEA DR.I AUDIBERTI EMANUELA E CAMILLI MELETANI MICHELANGELO SNC;08137490010;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/12/2007;Ordinaria;1;45,0768757;6,69700785;1
33;01735;Via Giuseppe Mazzini, 31;EUROPEA DR.I AUDIBERTI EMANUELA E CAMILLI MELETANI MICHELANGELO SNC;-;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0768757;6,69700785;1
33;01735;Via Giuseppe Mazzini, 31;EUROPEA DR.I AUDIBERTI EMANUELA E CAMILLI MELETANI MICHELANGELO SNC;07945920010;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0768757;6,69700785;1
34;01750;Via Po, 51;BERTA;-;10124;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;30/09/2010;Ordinaria;1;45,0647868152497;7,69541631702841;1
34;01041;Via Po, 51;BERTA DI COLLEGIATA SNC DEI DR.I FEDERICA BIANCHI E GAIA BAGNASACCO;10396180019;10124;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2011;-;Ordinaria;1;45,0647868152497;7,69541631702841;1
34;01750;Via Po, 51;BERTA;08235120014;10124;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/10/2010;28/02/2011;Ordinaria;1;45,0647868152497;7,69541631702841;1
35;01761;Via S. Tommaso, 2;SAN SIMONE;01966200188;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;28/02/2013;Ordinaria;1;45,0695426012509;7,68079016350882;1
35;01761;Via S. Tommaso, 2;SAN SIMONE;01966200188;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2013;-;Ordinaria;1;45,0695426012509;7,68079016350882;1
36;01772;Via San Tommaso, 16;GRUNER S.A.S. DEL DR. TIMEUS MARCO & C.;08572690017;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2010;Ordinaria;1;45,0709201;7,6859719;1
36;01031;Via San Tommaso, 16;GRUNER S.A.S. DEL DR. TIMEUS MARCO & C.;09942490013;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0709201;7,6859719;1
37;02015;Via Nizza, 15;BARGIS;00042350017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0180473402824;7,66173175625908;1
38;02017;Piazza Madama Cristina, 14;SAN SALVARIO DELLA DOTT.SSA BOGLIETTI PIERA E C.;09483260015;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/10/2007;31/12/2007;Ordinaria;1;45,0587092250988;7,68359135500964;1
38;02017;Piazza Madama Cristina, 14;SAN SALVARIO DELLA DOTT.SSA BOGLIETTI PIERA E C.;00510870017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;28/02/2013;Ordinaria;1;45,0587092250988;7,68359135500964;1
38;02017;Via Madama Cristina, 14;SAN SALVARIO DELLA DOTT.SSA BOGLIETTI PIERA E C.;00510870017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2013;-;Ordinaria;1;45,0587092250988;7,68359135500964;1
39;02021;Via Madama Cristina, 78;SANTA MATILDE DI RICHIARDI DR.SSA CRISTINA;10194520010;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2010;-;Ordinaria;1;45,0523749031816;7,67913285582087;1
39;02074;Via Madama Cristina, 78;SESIA;00656860012;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;28/02/2010;Ordinaria;1;45,0523749031816;7,67913285582087;1
40;02100;c/o FF. SS. - Porta Nuova;COMUNALE 25 - AFC;07019070015;10125;001272;TORINO;c/o FF. SS. - Porta Nuova;001;TO;TORINO;010;PIEMONTE;01/01/2005;30/06/2010;Ordinaria;1;45,062683;7,67896;1
40;02100;c/o FF. SS. - Porta Nuova;FARMACIE COMUNALI TORINO S.p.A. FC N. 25 -;09971950010;10125;001272;TORINO;c/o FF. SS. - Porta Nuova;001;TO;TORINO;010;PIEMONTE;01/07/2010;31/07/2010;Ordinaria;1;45,062683;7,67896;1
40;02100;c/o FF. SS. - Porta Nuova;COMUNALE 25 - AFC;09971950010;10125;001272;TORINO;c/o FF. SS. - Porta Nuova;001;TO;TORINO;010;PIEMONTE;01/08/2010;-;Ordinaria;1;45,062683;7,67896;1
41;09018;Via Nizza, 108;GANI SNC DI GANI GRAZIA E DALLOSTA ROBERTO;09368300019;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0180473402824;7,66173175625908;1
41;09018;Via Nizza, 108;GANI SNC DI GANI GRAZIA E DALLOSTA ROBERTO;03756280016;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/12/2007;Ordinaria;1;45,0180473402824;7,66173175625908;1
42;02181;Via Nizza, 115;SACRO CUORE;04453490015;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2009;Ordinaria;1;45,0180473402824;7,66173175625908;1
42;02020;Via Nizza, 115;SACRO CUORE SNC DEI DOTT.RI FERRATO ADOLFO E CRAVINI STEFANIA MARIA;10005770010;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2009;-;Ordinaria;1;45,0180473402824;7,66173175625908;1
43;02225;Via Nizza, 65;NIZZA;06372790011;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0180473402824;7,66173175625908;1
44;02236;Corso Massimo D`Azeglio, 100;TORINO ESPOSIZIONI DI ALBERTINI DOTT.SSA F. E ROBBA DOTT.SSA M. SNC;-;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0493453520191;7,68071955307557;1
44;02236;Corso Massimo D`Azeglio, 100;TORINO ESPOSIZIONI DI ALBERTINI DOTT.SSA F. E ROBBA DOTT.SSA M. SNC;00360290019;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/12/2007;Ordinaria;1;45,0493453520191;7,68071955307557;1
44;02236;Corso Massimo D`Azeglio, 100;TORINO ESPOSIZIONI DI ALBERTINI DOTT.SSA F. E ROBBA DOTT.SSA M. SNC;06424110010;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0493453520191;7,68071955307557;1
45;02240;Via Saluzzo, 1;DEL CORSO;06720230017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;44,87723385;7,3326621;1
46;02251;Via Nizza, 27;SAN SALVATORE;06757040016;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0180473402824;7,66173175625908;1
47;02262;Corso Dante, 78;DANTE;07141030010;10126;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0477524744755;7,67086837625355;1
48;02273;Via Madama Cristina, 62;BORGARELLI DEI DOTT.RI G. E P. BORGARELLI SNC;00546970013;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/12/2007;Ordinaria;1;45,0523749031816;7,67913285582087;1
48;02273;Via Madama Cristina, 62;BORGARELLI DEI DOTT.RI G. E P. BORGARELLI SNC;07852990014;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0523749031816;7,67913285582087;1
49;02284;Via Claudio Luigi Berthollet, 10;CAVALLO;08017490015;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0586002563752;7,68242703100911;1
50;02295;Via Madama Cristina, 37;PORTIS;00551200017;10125;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0523749031816;7,67913285582087;1
51;01039;Corso Filippo Turati, 46;MAURIZIANA DI GSG DI IELO STEFANIA E C.;10285940010;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/12/2010;28/02/2013;Ordinaria;1;45,0528170351046;7,66968094120049;1
51;01019;Corso Filippo Turati, 46;FONDAZIONE ORDINE MAURIZIANO;09007180012;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/10/2010;30/11/2010;Ordinaria;1;45,0528170351046;7,66968094120049;1
51;01039;Corso Filippo Turati, 38/c;MAURIZIANA DI GSG DI IELO STEFANIA E C.;10285940010;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/03/2013;-;Ordinaria;1;45,0528170351046;7,66968094120049;1
51;01019;Corso Filippo Turati, 46;FONDAZIONE ORDINE MAURIZIANO;-;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;30/09/2010;Ordinaria;1;45,0528170351046;7,66968094120049;1
52;03150;Corso Alcide De Gasperi, 6;BORGO CROCETTA;04750620017;10129;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0558554224589;7,65983713178448;1
53;01021;Via Paolo Sacchi, 46;PICCO TAVANO;02138360066;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0629788237278;7,67760957745872;1
53;01021;Via Paolo Sacchi, 46;PICCO TAVANO;04778460016;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2010;Ordinaria;1;45,0629788237278;7,67760957745872;1
54;03172;Corso Vittorio Emanuele, 121;SANT'ANTONIO;04838730010;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0353435421363;7,87513326575747;1
55;01038;Corso Alcide De Gasperi, 69;MARIA CRISTINA SAS DEL DR. PAUTASSO RENATO E C;10313740010;10129;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/08/2010;-;Ordinaria;1;45,0558554224589;7,65983713178448;1
55;03183;Corso Alcide De Gasperi, 69;MARIA CRISTINA;05162430010;10129;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/07/2010;Ordinaria;1;45,0558554224589;7,65983713178448;1
56;03194;Corso Germano Sommelier, 31;SANT'ANNA;05433060018;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0564781;7,6697114;1
57;01027;Corso Stati Uniti, 5;LEVA SNC DI CALLIERO PAOLO E FORMIGLIA MAURO;05458550018;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/10/2010;-;Ordinaria;1;45,0653156005477;7,66360478243208;1
57;03205;Corso Stati Uniti, 5;LEVA;05458550018;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2008;Ordinaria;1;45,0653156005477;7,66360478243208;1
57;03205;Corso Stati Uniti, 5;LEVA SNC DI CALLIERO PAOLO E FORMIGLIA MAURO;09858330013;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2008;30/09/2010;Ordinaria;1;45,0653156005477;7,66360478243208;1
58;03220;Corso Duca degli Abruzzi, 66;DANIELE;05810710011;10129;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0565606977491;7,65866071520534;1
59;03231;Via San Secondo, 9;SAN SECONDO;00391490018;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/12/2007;Ordinaria;1;45,1606312797084;7,49433400791429;1
59;03231;Via San Secondo, 9;SAN SECONDO;01167810058;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,1606312797084;7,49433400791429;1
60;03253;Corso Re Umberto, 38;RE UMBERTO SNC DELLE DOTT.SSE PAGLIERO P. E ROSA M. V.;07493500016;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2008;-;Ordinaria;1;45,0624034255194;7,67221379367731;1
60;03253;Corso Re Umberto, 38;RE UMBERTO SNC DELLE DOTT.SSE PAGLIERO P. E ROSA M. V.;07106700011;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;31/12/2007;Ordinaria;1;45,0624034255194;7,67221379367731;1
60;03253;Corso Re Umberto, 38;RE UMBERTO SNC DELLE DOTT.SSE PAGLIERO P. E ROSA M. V.;-;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0624034255194;7,67221379367731;1
61;03264;Largo Umberto 114/A;GALILEO FARMABIVI SNC DI BIGLIANI L. E VICO M.;05167390011;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2007;-;Ordinaria;1;45,0709201;7,6859719;1
61;03264;Via Fratelli Carle, 5;GALILEO FARMABIVI SNC DI BIGLIANI L. E VICO M.;-;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2007;Ordinaria;1;45,0709201;7,6859719;1
62;03275;Via Paolo Sacchi, 4;PORTA NUOVA;08210640010;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0629788237278;7,67760957745872;1
63;03286;Via San Secondo, 46;DEL LEONE;08334970012;10128;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,1606312797084;7,49433400791429;1
